,хорошо,согласен,сделаю,надену,одену,будет сделано,да,"да, хорошо",нет,не буду,не хочу,не согласен,не стоит,не надо,отстань,отвали,заколебала,достала,иди на хен,пошла на хер,пошла в жопу,кто это,а вы кто,повторите,не слышу,не слышно,громче,еще раз
хорошо,1.0,0.4320529095669583,0.376415837250114,0.10365685246307978,-0.04214971731706515,0.4682205769247779,0.56704234187894,0.9022516670205815,0.5231734418219622,0.531212265085003,0.5366618079903024,0.5433025971433978,0.49868518459159317,0.5759533181452868,0.09050010347861571,-0.02139716409541858,0.0,0.17967229303063445,0.33771502640171147,0.34889659509550286,0.36112801217050733,0.5067155654704899,0.5295939158734709,0.15430260614632096,0.4998580558752734,0.4837033914295569,0.17815119792259823,0.5361677842478308
согласен,0.4320529095669583,1.0,0.43840753106501595,0.10662343640254193,-0.008308207319556,0.46868583048155826,0.47762449836006327,0.5116059129593471,0.48649454578137497,0.5042969513182366,0.5248176614202181,0.8373633097725827,0.431400423045008,0.4838674698940537,0.10504941645680796,0.11806711237875656,0.0,-0.015251682566769129,0.22785165090396034,0.20667900180673734,0.22986685015160987,0.43360678657513196,0.4480875406259936,0.06224294087481537,0.3837521530734634,0.33022290512413643,0.12462344869016961,0.34958553100979295
сделаю,0.376415837250114,0.43840753106501595,1.0,0.33837078100847773,0.20843856758180268,0.4975648074739123,0.40596522477180674,0.44040891049458614,0.4425193141458683,0.5847928142216944,0.5388050810678914,0.47933996917397337,0.32709176153365865,0.44038714043764393,0.21628640240156383,0.14531188245974233,0.0,0.279654629042993,0.2806079224378366,0.2529660074505821,0.27615484662642126,0.34365537125816065,0.37050747235706644,0.1588508510866088,0.3890059952715031,0.3359266584098309,0.18569642468576494,0.36492865090314575
надену,0.10365685246307978,0.10662343640254193,0.33837078100847773,1.0,0.5906897422904558,0.09723691238225386,0.10629688381885816,0.11840129766690746,0.13982411813023296,0.2578668007518207,0.21406105230677502,0.13659255151449246,0.08867335510732008,0.12821913153150308,0.19661628706692688,0.13725637420403503,0.0,0.22421287181118918,0.08185192222551055,0.10482367067726701,0.13519452722478098,0.06052598546601475,0.04026441534763911,0.06548192245681836,0.1685303244389022,0.08988538755910778,0.04768135700457883,0.10339655338074377
одену,-0.04214971731706515,-0.008308207319556,0.20843856758180268,0.5906897422904558,1.0,-0.07483530853619912,-0.04564122182092496,-0.04941105957519726,-0.06950650651988069,0.06928842712429295,0.014720607321304114,-0.033473954473139264,-0.0736833979556517,-0.05733973559799732,0.12013478760204116,0.12791506438907296,0.0,0.04655114769557864,0.04586711111404601,-0.013139150655327269,0.020207487832195288,-0.1182130095253329,-0.12977711904041622,-0.025577510881297325,0.020560125640436754,-0.05695216183560727,0.0037896404241786323,-0.07062759928754571
будет сделано,0.4682205769247779,0.46868583048155826,0.4975648074739123,0.09723691238225386,-0.07483530853619912,1.0,0.4667691716463559,0.5278189060438726,0.4714706755714967,0.5988909417020524,0.5028530590923135,0.5653799419708672,0.48481704883279936,0.5665473360079113,0.036693410060179725,-0.0008639892385079055,0.0,0.11412824591689445,0.2443005163989728,0.28062328343247467,0.297333453771788,0.514452191730052,0.4571035921960432,0.056994845714825625,0.35836051059246643,0.4177805858608786,0.1340509807643858,0.4672451435890369
да,0.56704234187894,0.47762449836006327,0.40596522477180674,0.10629688381885816,-0.04564122182092496,0.4667691716463559,1.0,0.8667976030878807,0.7417123058471325,0.623589861869588,0.6635340213235006,0.6348349819292247,0.5951054706297649,0.687892847248048,0.2121286024523709,0.13260098654457625,0.0,0.2214941900832429,0.41540989757957036,0.48998157199378717,0.4231719705731619,0.6987830523074684,0.7435570647383345,0.07052097511313722,0.6056845659104867,0.5954784462713104,0.24433039372081533,0.6072340166897482
"да, хорошо",0.9022516670205815,0.5116059129593471,0.44040891049458614,0.11840129766690746,-0.04941105957519726,0.5278189060438726,0.8667976030878807,1.0,0.705023070422856,0.648051307152102,0.6722617342371155,0.6612577030402358,0.6134475893189882,0.7088008512190301,0.16584029809926998,0.0564642472744875,0.0,0.2247280135659283,0.42192387356535793,0.4677322543897604,0.4401615876449636,0.672585512304391,0.7098757623270098,0.1303331089061249,0.6196959296642325,0.604572844618838,0.23576210807747428,0.6424889357404001
нет,0.5231734418219622,0.48649454578137497,0.4425193141458683,0.13982411813023296,-0.06950650651988069,0.4714706755714967,0.7417123058471325,0.705023070422856,1.0,0.6857182462917913,0.7712524219485375,0.7126698946804263,0.6818864750299543,0.7345164164001221,0.18955488556197556,0.0661258039707344,0.0,0.1990029378452713,0.35278960464846326,0.40141046747565046,0.3766200736237407,0.6984586418239608,0.7196222255919027,0.05033680316198802,0.701104975445003,0.6662041369210511,0.2308252131746274,0.5952169490683874
не буду,0.531212265085003,0.5042969513182366,0.5847928142216944,0.2578668007518207,0.06928842712429295,0.5988909417020524,0.623589861869588,0.648051307152102,0.6857182462917913,1.0,0.8477003489550835,0.782405357006384,0.7436593878704406,0.8238166237639857,0.19395010580270472,0.08398892503027297,0.0,0.19906511146900369,0.39317349987730443,0.4221501006147426,0.444877333426616,0.6032597129906344,0.6375759727039724,0.06875392663014718,0.6941687829282561,0.6422765116716749,0.16552001922113066,0.5842617544730531
не хочу,0.5366618079903024,0.5248176614202181,0.5388050810678914,0.21406105230677502,0.014720607321304114,0.5028530590923135,0.6635340213235006,0.6722617342371155,0.7712524219485375,0.8477003489550835,1.0,0.8344415979110227,0.7903362620740035,0.8672400145149459,0.2374471062021096,0.09938657611283133,0.0,0.19325355300662878,0.4080572831117396,0.4432926615624854,0.44446179621474546,0.6583108237881447,0.7031052259879361,0.05973758143378156,0.7553212754516502,0.7141997536151004,0.2041175649018651,0.6324327938060252
не согласен,0.5433025971433978,0.8373633097725827,0.47933996917397337,0.13659255151449246,-0.033473954473139264,0.5653799419708672,0.6348349819292247,0.6612577030402358,0.7126698946804263,0.782405357006384,0.8344415979110227,1.0,0.759438322283538,0.8132448147620679,0.1345209353034185,0.06029358114818461,0.0,0.07029896014771803,0.3169917628607591,0.33827610307895106,0.3494023857199114,0.6371227744200122,0.644214754441551,0.045468718233394836,0.683406318600258,0.6643767007104772,0.16113149442262564,0.5656835934001228
не стоит,0.49868518459159317,0.431400423045008,0.32709176153365865,0.08867335510732008,-0.0736833979556517,0.48481704883279936,0.5951054706297649,0.6134475893189882,0.6818864750299543,0.7436593878704406,0.7903362620740035,0.759438322283538,1.0,0.8534379419145451,0.05350612727517499,-0.06026456052524034,0.0,0.15676486000508394,0.3217486322030915,0.41400135225173224,0.3723437823855974,0.6524925552558847,0.6272089286262084,0.017427481577826306,0.6962687041517442,0.6828480378636902,0.13353796958258357,0.5951023953805699
не надо,0.5759533181452868,0.4838674698940537,0.44038714043764393,0.12821913153150308,-0.05733973559799732,0.5665473360079113,0.687892847248048,0.7088008512190301,0.7345164164001221,0.8238166237639857,0.8672400145149459,0.8132448147620679,0.8534379419145451,1.0,0.16661063866828274,0.03535808583024832,0.0,0.1903881241201564,0.36877465885157507,0.461311186529237,0.45773002549908154,0.6846694513913267,0.695755542737485,0.06240946746089608,0.706578053636806,0.7064712951757512,0.18496803092086797,0.6845389135375827
отстань,0.09050010347861571,0.10504941645680796,0.21628640240156383,0.19661628706692688,0.12013478760204116,0.036693410060179725,0.2121286024523709,0.16584029809926998,0.18955488556197556,0.19395010580270472,0.2374471062021096,0.1345209353034185,0.05350612727517499,0.16661063866828274,1.0,0.7443159204846315,0.0,0.13824803734646957,0.3193993004222288,0.23910545200937183,0.17944100245550315,0.07190512121955898,0.06785796187133461,0.054747268020022,0.23974733145154753,0.1808201393425241,0.14560348497980527,0.014936168954335886
отвали,-0.02139716409541858,0.11806711237875656,0.14531188245974233,0.13725637420403503,0.12791506438907296,-0.0008639892385079055,0.13260098654457625,0.0564642472744875,0.0661258039707344,0.08398892503027297,0.09938657611283133,0.06029358114818461,-0.06026456052524034,0.03535808583024832,0.7443159204846315,1.0,0.0,0.04749058500527715,0.26222539188712474,0.19822027529876013,0.12302898748694607,0.032346088934532814,0.0039121862116890645,0.10399800837415507,0.09986569822231768,0.04885546414786292,0.13810767363037224,-0.058324128085580254
заколебала,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
достала,0.17967229303063445,-0.015251682566769129,0.279654629042993,0.22421287181118918,0.04655114769557864,0.11412824591689445,0.2214941900832429,0.2247280135659283,0.1990029378452713,0.19906511146900369,0.19325355300662878,0.07029896014771803,0.15676486000508394,0.1903881241201564,0.13824803734646957,0.04749058500527715,0.0,1.0,0.1593600624648531,0.29792423306798277,0.301790857937494,0.13727554766641345,0.16931199049420764,0.03191364901243647,0.14652323911481493,0.18794025903422412,0.07826600693070704,0.19944950219876123
